Model,Dataset,Status,Issue_Details,CSV_Exists
deepar,ftsfr_FX_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
deepar,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
deepar,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
deepar,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
deepar,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
deepar,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
deepar,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
deepar,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
deepar,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_CRSP_monthly_stock_ret,Success,Completed successfully,True
deepar,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
nbeats,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
nbeats,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
nbeats,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
nbeats,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
nbeats,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
nbeats,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
nbeats,ftsfr_FX_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
nbeats,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
nbeats,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
nbeats,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
nbeats,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
nbeats,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
nbeats,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
nbeats,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
nbeats,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
nbeats,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
nbeats,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
nhits,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
nhits,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
nhits,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
nhits,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
nhits,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
nhits,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
nhits,ftsfr_FX_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
nhits,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
nhits,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
nhits,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
nhits,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
nhits,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
nhits,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
nhits,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
nhits,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
nhits,ftsfr_CRSP_monthly_stock_ret,Success,Completed successfully,True
nhits,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
dlinear,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
dlinear,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
dlinear,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
dlinear,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
dlinear,ftsfr_CDS_contract_returns,Success,Completed successfully,True
dlinear,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
dlinear,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
dlinear,ftsfr_FX_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
dlinear,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
dlinear,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
dlinear,ftsfr_french_portfolios_25_daily_size_and_bm,Success,Completed successfully,True
dlinear,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
dlinear,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
dlinear,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
dlinear,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
dlinear,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
dlinear,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
dlinear,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
nlinear,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
nlinear,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
nlinear,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
nlinear,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
nlinear,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
nlinear,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
nlinear,ftsfr_FX_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
nlinear,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
nlinear,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
nlinear,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
nlinear,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
nlinear,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
nlinear,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
nlinear,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
nlinear,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
nlinear,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
nlinear,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_treasury_sf_basis,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
vanilla_transformer,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
